%@2-E(SYM=1 ADR=2 CM1=3 CM2=4)
iLLUB,X0004.0,level central lubrication,
K_8AX_P02,R1904.7,P02:key 8th axis,
K_X1_P02,R1905.0,P02:key 1 increment,
K_X10_P02,R1905.1,P02:key 10 increment,
K_X100_P02,R1905.2,P02:key 100 increment,
K_X1000_P02,R1905.3,P02:key 1000 increment,
K_RT_P02,R1905.5,P02:key rapid traverse,
K_PLUS_P02,R1905.6,P02:key plus direction,
K_MINUS_P02,R1905.7,P02:key minus direction,
K_COOL_P02,R1906.0,P02:key coolant on / off,
K_SPCW_P02,R1907.0,P02:key spindle cw,
K_SPCCW_P02,R1907.1,P02:key spindle ccw,
K_SPSP_P02,R1907.2,P02:key spindle stop,
K_MC1_P02,R1908.1,P02:key macro call 1,
K_MC2_P02,R1908.2,P02:key macro call 2,
K_MC3_P02,R1908.3,P02:key macro call 3,
K_MC4_P02,R1908.4,P02:key macro call 4,
L_MMEM_P02,R1920.0,P02:led mode mem,
L_MEDT_P02,R1920.1,P02:led mode edit,
L_MMDI_P02,R1920.2,P02:led mode mdi,
L_DNC_P02,R1920.3,P02:led dnc operation,
L_MREF_P02,R1920.4,P02:led mode ref,
L_MJ_P02,R1920.5,P02:led mode jog,
L_INC_P02,R1920.6,P02:led mode inc,
L_HD_P02,R1920.7,P02:led mode handle,
L_SBK_P02,R1922.0,P02:led single block,
L_SKIP_P02,R1922.1,P02:led block skip,
L_OSTP_P02,R1922.2,P02:led optional stop m01,
L_PGMT_P02,R1922.3,P02:led program test,
L_DRN_P02,R1922.4,P02:led dry run,
L_REST_P02,R1922.5,P02:led program restart,
L_TEACH_P02,R1922.6,P02:led teach in mode,
L_STL_P02,R1923.0,P02:led cycle start lamp,
L_SPL_P02,R1923.1,P02:led cycle stop,
L_PGSP_P02,R1923.2,P02:led program stop,
L_RST_P02,R1923.3,P02:led rst key,
L_X1_P02,R1925.0,P02:led 1 increment,
L_X10_P02,R1925.1,P02:led 10 increment,
L_X100_P02,R1925.2,P02:led 100 increment,
L_X1000_P02,R1925.3,P02:led 1000 increment,
L_RT_P02,R1925.5,led rapid traverse,
L_COOL_P02,R1926.0,P02:led coolant on,
L_SPCW_P02,R1927.0,P02:led spindle cw,
L_SPCCW_P02,R1927.1,P02:led spindle ccw,
L_SPSP_P02,R1927.2,P02:led spindle stop,
L_MC1_P02,R1927.4,P02:led macro call 1,
L_MC2_P02,R1927.5,P02:led macro call 2,
L_MC3_P02,R1927.6,P02:led macro call 3,
L_MC4_P02,R1927.7,P02:led macro call 4,
L_1AX_P02,R1928.0,P02:led 1st axis sel.,
L_2AX_P02,R1928.1,P02:led 2nd axis sel.,
L_3AX_P02,R1928.2,P02:led 3rd axis sel.,
L_4AX_P02,R1928.3,P02:led 4th axis sel.,
L_5AX_P02,R1928.4,P02:led 5th axis sel.,
L_6AX_P02,R1928.5,P02:led 6th axis sel.,
L_7AX_P02,R1928.6,P02:led 7th axis sel.,
L_8AX_P02,R1928.7,P02:led 8th axis sel.,
L_1AXP_P02,R1929.0,P02:led 1st axis + dir.,
L_2AXP_P02,R1929.1,P02:led 2nd axis + dir.,
L_3AXP_P02,R1929.2,P02:led 3rd axis + dir.,
L_4AXP_P02,R1929.3,P02:led 4th axis + dir.,
L_5AXP_P02,R1929.4,P02:led 5th axis + dir.,
L_6AXP_P02,R1929.5,P02:led 6th axis + dir.,
L_7AXP_P02,R1929.6,P02:led 7th axis + dir.,
L_8AXP_P02,R1929.7,P02:led 8th axis + dir.,
L_1AXM_P02,R1930.0,P02:led 1st axis - dir.,
L_2AXM_P02,R1930.1,P02:led 2nd axis - dir.,
L_3AXM_P02,R1930.2,P02:led 3rd axis - dir.,
L_4AXM_P02,R1930.3,P02:led 4th axis - dir.,
L_5AXM_P02,R1930.4,P02:led 5th axis - dir.,
L_6AXM_P02,R1930.5,P02:led 6th axis - dir.,
L_7AXM_P02,R1930.6,P02:led 7th axis - dir.,
L_8AXM_P02,R1930.7,P02:led 8th axis - dir.,
ZERO,R9000.0,result is zero,
NEG,R9000.1,result is negative,
OVERFLOW,R9000.5,result has overflowed,
LOG1,R9091.1,logic one,
100MS,R9091.5,100 ms,
500MS,R9091.6,500 ms,
M_1000,A0000.0,emergency alarm,
M_1001,A0000.1,spindle alarm,
M_1002,A0000.2,error central lubrication,
M_1003,A0000.3,,
M_1004,A0000.4,timeout iPendant,
M_2001,A0008.1,zero return required,
M_2002,A0008.2,prog. spindle speed to high,
M_2003,A0008.3,m-code out of range,
M_2100,A0020.0,check central lubrication,
M_2101,A0020.1,coolant switched off,
M_2102,A0020.2,batterie alarm,
M_2103,A0020.3,pgm start disabled,
NOREF1_P01,K0000.0,_P01:no ref. return 1st axis,
NOREF2_P01,K0000.1,_P01:no ref. return 2nd axis,
NOREF3_P01,K0000.2,_P01:no ref. return 3rd axis,
NOREF4_P01,K0000.3,_P01:no ref. return 4th axis,
NOREF5_P01,K0000.4,_P01:no ref. return 5th axis,
NOREF6_P01,K0000.5,_P01:no ref. return 6th axis,
NOREF7_P01,K0000.6,_P01:no ref. return 7th axis,
NOREF8_P01,K0000.7,_P01:no ref. return 8th axis,
NOREF1_P02,K0001.0,_P02:no ref. return 1st axis,
NOREF2_P02,K0001.1,_P02:no ref. return 2nd axis,
NOREF3_P02,K0001.2,_P02:no ref. return 3rd axis,
NOREF4_P02,K0001.3,_P02:no ref. return 4th axis,
NOREF5_P02,K0001.4,_P02:no ref. return 5th axis,
NOREF6_P02,K0001.5,_P02:no ref. return 6th axis,
NOREF7_P02,K0001.6,_P02:no ref. return 7th axis,
NOREF8_P02,K0001.7,_P02:no ref. return 8th axis,
T_BIT000,E9500.0,temporary bit 000,
T_BIT001,E9500.1,temporary bit 001,
T_BIT002,E9500.2,temporary bit 002,
T_BIT003,E9500.3,temporary bit 003,
T_BIT004,E9500.4,temporary bit 004,
T_BIT005,E9500.5,temporary bit 005,
T_BIT006,E9500.6,temporary bit 006,
T_BIT007,E9500.7,temporary bit 007,
T_BIT008,E9501.0,temporary bit 008,
T_BIT009,E9501.1,temporary bit 009,
T_BIT010,E9501.2,temporary bit 010,
T_BIT011,E9501.3,temporary bit 011,
T_BIT012,E9501.4,temporary bit 012,
T_BIT013,E9501.5,temporary bit 013,
T_BIT014,E9501.6,temporary bit 014,
T_BIT015,E9501.7,temporary bit 015,
T_BIT016,E9502.0,temporary bit 016,
T_BIT017,E9502.1,temporary bit 017,
T_BIT018,E9502.2,temporary bit 018,
T_BIT019,E9502.3,temporary bit 019,
T_BIT020,E9502.4,temporary bit 020,
T_BIT021,E9502.5,temporary bit 021,
T_BIT022,E9502.6,temporary bit 022,
T_BIT023,E9502.7,temporary bit 023,
T_BIT024,E9503.0,temporary bit 024,
T_BIT025,E9503.1,temporary bit 025,
T_BIT026,E9503.2,temporary bit 026,
T_BIT027,E9503.3,temporary bit 027,
T_BIT028,E9503.4,temporary bit 028,
T_BIT029,E9503.5,temporary bit 029,
T_BIT030,E9503.6,temporary bit 030,
T_BIT031,E9503.7,temporary bit 031,
T_BIT032,E9504.0,temporary bit 032,
T_BIT033,E9504.1,temporary bit 033,
T_BIT034,E9504.2,temporary bit 034,
T_BIT035,E9504.3,temporary bit 035,
T_BIT036,E9504.4,temporary bit 036,
T_BIT037,E9504.5,temporary bit 037,
T_BIT038,E9504.6,temporary bit 038,
T_BIT039,E9504.7,temporary bit 039,
T_BIT040,E9505.0,temporary bit 040,
T_BIT041,E9505.1,temporary bit 041,
T_BIT042,E9505.2,temporary bit 042,
T_BIT043,E9505.3,temporary bit 043,
T_BIT044,E9505.4,temporary bit 044,
T_BIT045,E9505.5,temporary bit 045,
T_BIT046,E9505.6,temporary bit 046,
T_BIT047,E9505.7,temporary bit 047,
T_BIT048,E9506.0,temporary bit 048,
T_BIT049,E9506.1,temporary bit 049,
T_BIT050,E9506.2,temporary bit 050,
T_BIT051,E9506.3,temporary bit 051,
T_BIT052,E9506.4,temporary bit 052,
T_BIT053,E9506.5,temporary bit 053,
T_BIT054,E9506.6,temporary bit 054,
T_BIT055,E9506.7,temporary bit 055,
T_BIT056,E9507.0,temporary bit 056,
T_BIT057,E9507.1,temporary bit 057,
T_BIT058,E9507.2,temporary bit 058,
T_BIT059,E9507.3,temporary bit 059,
T_BIT060,E9507.4,temporary bit 060,
T_BIT061,E9507.5,temporary bit 061,
T_BIT062,E9507.6,temporary bit 062,
T_BIT063,E9507.7,temporary bit 063,
T_BIT064,E9508.0,temporary bit 064,
T_BIT065,E9508.1,temporary bit 065,
T_BIT066,E9508.2,temporary bit 066,
T_BIT067,E9508.3,temporary bit 067,
T_BIT068,E9508.4,temporary bit 068,
T_BIT069,E9508.5,temporary bit 069,
T_BIT070,E9508.6,temporary bit 070,
T_BIT071,E9508.7,temporary bit 071,
T_BIT072,E9509.0,temporary bit 072,
T_BIT073,E9509.1,temporary bit 073,
T_BIT074,E9509.2,temporary bit 074,
T_BIT075,E9509.3,temporary bit 075,
T_BIT076,E9509.4,temporary bit 076,
T_BIT077,E9509.5,temporary bit 077,
T_BIT078,E9509.6,temporary bit 078,
T_BIT079,E9509.7,temporary bit 079,
T_BIT080,E9510.0,temporary bit 080,
T_BIT081,E9510.1,temporary bit 081,
T_BIT082,E9510.2,temporary bit 082,
T_BIT083,E9510.3,temporary bit 083,
T_BIT084,E9510.4,temporary bit 084,
T_BIT085,E9510.5,temporary bit 085,
T_BIT086,E9510.6,temporary bit 086,
T_BIT087,E9510.7,temporary bit 087,
EMG_STP,E9520.0,emergency stop active,
emgxmr,E9525.0,emg: xmovb result,
sopemg,E9525.1,emergency stop from sop,
FICYCL,E9530.0,first cycle finished,
CLOCK,E9530.1,cycle clock pulse,
K_MMEM,E9540.0,key mode mem,
K_MEDT,E9540.1,key mode edit,
K_MMDI,E9540.2,key mode mdi,
K_DNC,E9540.3,key dnc operation mode,
K_MREF,E9540.4,key mode ref,
K_MJ,E9540.5,key mode jog,
K_INC,E9540.6,key inc feed,
K_HD,E9540.7,key handle,
K_SBK,E9542.0,key single block,
K_SKIP,E9542.1,key block skip,
K_OSTP,E9542.2,key optional stop m01,
K_PGMT,E9542.3,key program test,
K_DRN,E9542.4,key dry run,
K_REST,E9542.5,key program restart,
K_TEACH,E9542.6,key teach in,
K_ST,E9543.0,key cycle start,
K_CYSP,E9543.1,key cycle stop,
K_PGSP,E9543.2,pgm stop key,
K_RST,E9543.3,reset key,
K_EMG,E9543.4,virtual emg stop key,
K_1AX,E9544.0,key 1st axis,
K_2AX,E9544.1,key 2nd axis,
K_3AX,E9544.2,key 3rd axis,
K_4AX,E9544.3,key 4th axis,
K_5AX,E9544.4,key 5th axis,
K_6AX,E9544.5,key 6th axis,
K_7AX,E9544.6,key 7th axis,
K_8AX,E9544.7,key 8th axis,
K_X1,E9545.0,key 1 increment,
K_X10,E9545.1,key 10 increment,
K_X100,E9545.2,key 100 increment,
K_X1000,E9545.3,key 1000 increment,
K_RT,E9545.5,key rapid traverse,
K_PLUS,E9545.6,key plus direction,
K_MINUS,E9545.7,key minus direction,
K_COOL,E9546.0,key coolant manual on,
K_SPCW,E9547.0,key spindle cw,
K_SPCCW,E9547.1,key spindle ccw,
K_SPSP,E9547.2,key spindle stop,
K_MC1,E9548.1,key macro call 1,
K_MC2,E9548.2,key macro call 2,
K_MC3,E9548.3,key macro call 3,
K_MC4,E9548.4,key macro call 3,
SOP_ACT,E9560.2,software op active,
RE_SOP_ACT,E9560.3,re sop active,
FE_SOP_ACT,E9560.4,fe sop active,
K_PATH+,E9560.5,key path plus,
K_PATH-,E9560.6,key path minus,
K_PSYN,E9560.7,key path sync,
K_PKEY,E9561.1,memory protection key,
msop_act,E9570.3,memory sop active,
reksop,E9570.4,re key sop,
mksop,E9570.5,memory key sop,
sopscreen,E9570.6,sop screen selected,
DCS_ACT,E9580.0,dual check safety active,
re_dcs_prm,E9582.0,re dcs parameter read,
dcs_prm_r,E9582.1,dcs parameter read fin,
MDCHEN,E9590.0,mode change enable,
M_JOG,E9590.1,all path jog selected,
SP_STP,E9610.0,spindles all path stopped,
REF_OK,E9640.0,all axis referenced,
MESRST,E9650.0,message reset,
OP,E9650.1,autom. operation lamp,
RESET,E9650.2,reset active,
SYNST,E9650.3,synchronous start,
ST_EN,E9650.4,program start enable,
POW_OK,E9660.0,power supply axis ok,
P_ON_I,E9660.1,power on impulse,
P_ON_1ST,E9660.2,1st power on impulse,
mpowok,E9662.0,memory power ok,
SER_ON,E9670.0,servo on,
AXMOV,E9670.1,axes moving,
LUBON,E9690.0,lubrication cycle active,
E_LUB,E9690.1,lubrication error,
sta_by,E9692.0,stand-by lubrication,
stbyim,E9692.1,impulse after stand-by,
timimp,E9692.2,time pulse for lubrication,
lubstp,E9692.3,stop lubrication cycle,
lutout,E9692.4,lubrication time out,
WIN_WR,E9700.0,window write active,
AL,E9710.0,alarm in path,
ALARM,E9710.1,alarm message active,
n_mes1,E9712.0,no messages A0.0 - A3.7,
n_mes2,E9712.1,no messages A4.0 - A7.7,
n_mes3,E9712.2,no messages A8.0 - A11.7,
n_mes4,E9712.3,no messages A12.0 - A15.7,
n_mes5,E9712.4,no messages A16.0 - A19.7,
L_SOPRUN,E9720.0,led sop key,
PATH_P01,E9730.0,path 01 selected,
PATH_P02,E9730.1,path 02 selected,
PATHSYN,E9732.0,path synchronization signal,
PSYNREQ,E9732.1,path synchronization request,
PCHANGE,E9732.3,path change,
pctr_b00,E9736.0,path ctr value bit00,
pctr_b01,E9736.1,path ctr value bit01,
pctr_b02,E9736.2,path ctr value bit02,
pctr_b03,E9736.3,path ctr value bit03,
repath,E9742.0,rising edge path switching,
mkpsel,E9742.1,memory path selection key,
maxpath,E9742.2,path ctr preset reached,
repsyn,E9742.3,re path synchronization,
mpsyn,E9742.4,mem path synchronisation key,
mpathsyn,E9742.5,memory path synchronization,
VIRTUAL_OP,E9750.0,virtual op with 55key,
V_OP_SW,E9750.1,switching to virtual op,
e_fovr,E9752.0,error decoding f-override,
e_sovr,E9752.1,error decoding s-override,
SOP_RUN,E9760.0,software op-panel active,
iV_S_OVR0,E9900.6,op55: virtual spindle ovr bit0,
iV_S_OVR1,E9900.7,op55: virtual spindle ovr bit1,
iV_S_OVR2,E9901.0,op55: virtual spindle ovr bit2,
iV_PKEY,E9901.4,op55: virtual protect key,
iV_K_EMG,E9902.4,op55: virtual emg key,
iV_K_A01,E9904.0,op55: virtual key A01,
iV_K_A02,E9904.1,op55: virtual key A02,
iV_K_A03,E9904.2,op55: virtual key A03,
iV_K_A04,E9904.3,op55: virtual key A04,
iV_K_B01,E9904.4,op55: virtual key B01,
iV_K_B02,E9904.5,op55: virtual key B02,
iV_K_B03,E9904.6,op55: virtual key B03,
iV_K_B04,E9904.7,op55: virtual key B04,
iV_K_C01,E9905.0,op55: virtual key C01,
iV_K_C02,E9905.1,op55: virtual key C02,
iV_K_C03,E9905.2,op55: virtual key C03,
iV_K_C04,E9905.3,op55: virtual key C04,
iV_K_D01,E9905.4,op55: virtual key D01,
iV_K_D02,E9905.5,op55: virtual key D02,
iV_K_D03,E9905.6,op55: virtual key D03,
iV_K_D04,E9905.7,op55: virtual key D04,
iV_K_E01,E9906.0,op55: virtual key E01,
iV_K_E02,E9906.1,op55: virtual key E02,
iV_K_E03,E9906.2,op55: virtual key E03,
iV_K_E04,E9906.3,op55: virtual key E04,
iV_K_A05,E9906.4,op55: virtual key A05,
iV_K_A06,E9906.5,op55: virtual key A06,
iV_K_A07,E9906.6,op55: virtual key A07,
iV_K_A08,E9906.7,op55: virtual key A08,
iV_K_B05,E9907.0,op55: virtual key B05,
iV_K_B06,E9907.1,op55: virtual key B06,
iV_K_B07,E9907.2,op55: virtual key B07,
iV_K_B08,E9907.3,op55: virtual key B08,
iV_K_C05,E9907.4,op55: virtual key C05,
iV_K_C06,E9907.5,op55: virtual key C06,
iV_K_C07,E9907.6,op55: virtual key C07,
iV_K_C08,E9907.7,op55: virtual key C08,
iV_K_D05,E9908.0,op55: virtual key D05,
iV_K_D06,E9908.1,op55: virtual key D06,
iV_K_D07,E9908.2,op55: virtual key D07,
iV_K_D08,E9908.3,op55: virtual key D08,
iV_K_E05,E9908.4,op55: virtual key E05,
iV_K_E06,E9908.5,op55: virtual key E06,
iV_K_E07,E9908.6,op55: virtual key E07,
iV_K_E08,E9908.7,op55: virtual key E08,
iV_K_A09,E9909.0,op55: virtual key A09,
iV_K_A10,E9909.1,op55: virtual key A10,
iV_K_A11,E9909.2,op55: virtual key A11,
iV_K_A12,E9909.3,op55: virtual key A12,
iV_K_B09,E9909.4,op55: virtual key B09,
iV_K_B10,E9909.5,op55: virtual key B10,
iV_K_B11,E9909.6,op55: virtual key B11,
iV_K_B12,E9909.7,op55: virtual key B12,
iV_K_C09,E9910.0,op55: virtual key C09,
iV_K_C10,E9910.1,op55: virtual key C10,
iV_K_C11,E9910.2,op55: virtual key C11,
iV_K_C12,E9910.3,op55: virtual key C12,
iV_K_D09,E9910.4,op55: virtual key D09,
iV_K_D10,E9910.5,op55: virtual key D10,
iV_K_D11,E9910.6,op55: virtual key D11,
iV_K_D12,E9910.7,op55: virtual key D12,
iV_K_E09,E9911.0,op55: virtual key E09,
iV_K_E10,E9911.1,op55: virtual key E10,
iV_K_E11,E9911.2,op55: virtual key E11,
iV_K_E12,E9911.3,op55: virtual key E12,
oV_L_A01,E9920.0,op55: virtual led A01,
oV_L_A02,E9920.1,op55: virtual led A02,
oV_L_A03,E9920.2,op55: virtual led A03,
oV_L_A04,E9920.3,op55: virtual led A04,
oV_L_B01,E9920.4,op55: virtual led B01,
oV_L_B02,E9920.5,op55: virtual led B02,
oV_L_B03,E9920.6,op55: virtual led B03,
oV_L_B04,E9920.7,op55: virtual led B04,
oV_L_C01,E9921.0,op55: virtual led C01,
oV_L_C02,E9921.1,op55: virtual led C02,
oV_L_C03,E9921.2,op55: virtual led C03,
oV_L_C04,E9921.3,op55: virtual led C04,
oV_L_D01,E9921.4,op55: virtual led D01,
oV_L_D02,E9921.5,op55: virtual led D02,
oV_L_D03,E9921.6,op55: virtual led D03,
oV_L_D04,E9921.7,op55: virtual led D04,
oV_L_E01,E9922.0,op55: virtual led E01,
oV_L_E02,E9922.1,op55: virtual led E02,
oV_L_E03,E9922.2,op55: virtual led E03,
oV_L_E04,E9922.3,op55: virtual led E04,
oV_L_A05,E9922.4,op55: virtual led A05,
oV_L_A06,E9922.5,op55: virtual led A06,
oV_L_A07,E9922.6,op55: virtual led A07,
oV_L_A08,E9922.7,op55: virtual led A08,
oV_L_B05,E9923.0,op55: virtual led B05,
oV_L_B06,E9923.1,op55: virtual led B06,
oV_L_B07,E9923.2,op55: virtual led B07,
oV_L_B08,E9923.3,op55: virtual led B08,
oV_L_C05,E9923.4,op55: virtual led C05,
oV_L_C06,E9923.5,op55: virtual led C06,
oV_L_C07,E9923.6,op55: virtual led C07,
oV_L_C08,E9923.7,op55: virtual led C08,
oV_L_D05,E9924.0,op55: virtual led D05,
oV_L_D06,E9924.1,op55: virtual led D06,
oV_L_D07,E9924.2,op55: virtual led D07,
oV_L_D08,E9924.3,op55: virtual led D08,
oV_L_E05,E9924.4,op55: virtual led E05,
oV_L_E06,E9924.5,op55: virtual led E06,
oV_L_E07,E9924.6,op55: virtual led E07,
oV_L_E08,E9924.7,op55: virtual led E08,
oV_L_A09,E9925.0,op55: virtual led A09,
oV_L_A10,E9925.1,op55: virtual led A10,
oV_L_A11,E9925.2,op55: virtual led A11,
oV_L_A12,E9925.3,op55: virtual led A12,
oV_L_B09,E9925.4,op55: virtual led B09,
oV_L_B10,E9925.5,op55: virtual led B10,
oV_L_B11,E9925.6,op55: virtual led B11,
oV_L_B12,E9925.7,op55: virtual led B12,
oV_L_C09,E9926.0,op55: virtual led C09,
oV_L_C10,E9926.1,op55: virtual led C10,
oV_L_C11,E9926.2,op55: virtual led C11,
oV_L_C12,E9926.3,op55: virtual led C12,
oV_L_D09,E9926.4,op55: virtual led D09,
oV_L_D10,E9926.5,op55: virtual led D10,
oV_L_D11,E9926.6,op55: virtual led D11,
oV_L_D12,E9926.7,op55: virtual led D12,
oV_L_E09,E9927.0,op55: virtual led E09,
oV_L_E10,E9927.1,op55: virtual led E10,
oV_L_E11,E9927.2,op55: virtual led E11,
oV_L_E12,E9927.3,op55: virtual led E12,
*SGOPN,E9980.0,guard state doors closed,
HTR,E9980.1,hold to run button,
SET_M01,E9980.2,setup mode 01,
SP_STO_MON_P01,E9990.0,P01:spindle sto monitoring,
iB_EMG,X0008,input byte emg,
iF_FOVR,X0100,op 55keys inputs fovr switch,
MFCS_P01,F0010,P01:m-function code signal,
MF2CS_P01,F0014,P01:2nd m-function code signal,
S00-S31_P01,F0022,P01:spindle speed code,
*FV0O_7O_P01,F0078,P01:sop: feedrate override,
*JV0O_15O_P01,F0079,P01:sop: jog feed rate ovr,
SCRNLx,F0523,screen large classification,
MF3CS_P01,F0564,P01:3rd m-function code signal,
MF4CS_P01,F0568,P01:4th m-function code signal,
MF5CS_P01,F0572,P01:5th m-function code signal,
MFCS_P02,F1010,P02:m-function code signal,
MF2CS_P02,F1014,P02:2nd m-function code signal,
S00-S31_P02,F1022,P02:spindle speed code,
*FV0O_7O_P02,F1078,P02:sop: feedrate override,
*JV0O_15O_P02,F1079,P02:sop: jog feed rate ovr,
MF3CS_P02,F1564,P02:3rd m-function code signal,
MF4CS_P02,F1568,P02:4th m-function code signal,
MF5CS_P02,F1572,P02:5th m-function code signal,
*JV-15_P01,G0010,P01:manual feed ovr signal,
*FV0-7_P01,G0012,P01:feed override signal,
SOV_P01,G0030,P01:spindle speed ovr signal,
ROXL_P01,G0032,P01:sp motor speed command,
*HROV_P01,G0096,P01:1% step rapid traverse ovr,
*JV-15_P02,G1010,P02:manual feed ovr signal,
*FV0-7_P02,G1012,P02:feed override signal,
SOV_P02,G1030,P02:spindle speed ovr signal,
ROXL_P02,G1032,P02:sp motor speed command,
*HROV_P02,G1096,P02:1% step rapid traverse ovr,
SETMODE_P01,R0080,P01:mode forcing word,
M000_007_P01,R0100,P01:m codes M000 to M007,
mscode_P01,R0188,P01:mem. spindle speed code,
OPMAP_P01,R0900,P01:op map start address,
K_AX_B_P01,R0904,P01: byte axes key,
K_INCR_P01,R0905,P01: byte increment key,
FOVRS_P01,R0916,P01:feed override in %,
SOVRS_P01,R0918,P01:spindle override in %,
SETMODE_P02,R1080,P02:mode forcing word,
M000_007_P02,R1100,P02:m codes M000 to M007,
mscode_P02,R1188,P02:mem. spindle speed code,
OPMAP_P02,R1900,P02:op map start address,
K_AX_B_P02,R1904,P02: byte axes key,
K_INCR_P02,R1905,P02: byte increment key,
FOVRS_P02,R1916,P02:feed override in %,
SOVRS_P02,R1918,P02:spindle override in %,
REST,R9002,calculation remainder,
MADR_A00,A0000,message display address A00,
MADR_A04,A0004,message display address A04,
MADR_A08,A0008,message display address A08,
MADR_A12,A0012,message display address A12,
MADR_A16,A0016,message display address A16,
MFOVRS_P01,D0000,P01:mem. feed-ovr switch in %,
ACTFOVR_P01,D0002,P01:acutal feed override in %,
mctabl_P01,D0068,P01:tab length for m code dec,
ptr1mc_P01,D0069,P01:index ptr to 1st m code,
dbit1m_P01,D0070,P01:dec. bit 1st m code table,
ptr2mc_P01,D0071,P01:index ptr to 2nd m code,
dbit2m_P01,D0072,P01:dec. bit 2nd m code table,
ptr3mc_P01,D0073,P01:index ptr to 3rd m code,
dbit3m_P01,D0074,P01:dec. bit 3rd m code table,
PANEL,D0078,mounted panel,
SPIOVR,D0079,mounted sovr switch,
ptr4mc_P01,D0080,P01:index ptr to 4th m-code,
dbit4m_P01,D0081,P01:dec. bit 4th m-code table,
ptr5mc_P01,D0082,P01:index ptr to 5th m-code,
dbit5m_P01,D0083,P01:dec. bit 5th m-code table,
MFOVRS_P02,D1000,P02:mem. feed-ovr switch in %,
ACTFOVR_P02,D1002,P02:acutal feed override in %,
MAX_SP_P02,D1004,P02:maximal spindle speed,
MAX_MOT_P02,D1008,P02:maximal motor speed,
gr_mot_P02,D1012,P02:gear ratio motor,
gr_spi_P02,D1016,P02:gear ratio spindle,
mctabl_P02,D1068,P02:tab length for m code dec,
ptr1mc_P02,D1069,P02:index ptr to 1st m code,
dbit1m_P02,D1070,P02:dec. bit 1st m code table,
ptr2mc_P02,D1071,P02:index ptr to 2nd m code,
dbit2m_P02,D1072,P02:dec. bit 2nd m code table,
ptr3mc_P02,D1073,P02:index ptr to 3rd m code,
dbit3m_P02,D1074,P02:dec. bit 3rd m code table,
ptr4mc_P02,D1080,P02:index ptr to 4th m-code,
dbit4m_P02,D1081,P02:dec. bit 4th m-code table,
ptr5mc_P02,D1082,P02:index ptr to 5th m-code,
dbit5m_P02,D1083,P02:dec. bit 5th m-code table,
s_pmc00_P02,D1100,P02:start addr. pmc axis ctrl,
s_pmc01_P02,D1101,P02:ctrl cmd pmc axis control,
s_pmc02_P02,D1102,P02:sv motor speed,
sspeed_P02,D1108,P02:reading acutal motor speed,
dl_spsd_P02,D1112,P02:data length motor speed,
dn_spsd_P02,D1114,P02:data number motor speed,
ax_spsd_P02,D1116,P02:axis number motor speed,
speed_s_P02,D1118,P02:actual motor speed,
MMI_Input,P0001,mmi inputs,
Init,P0002,initialization,
ModDec,P0003,decoding of op. modes,
M_Codes,P0004,m code decoding,
Spindle,P0005,spindle control,
Tool,P0006,tool management,
B_Codes,P0007,b codes,
Manual,P0008,manual modes,
Auto,P0009,automatic modes,
Power,P0010,power/protection doors,
Axes,P0011,axes control,
Coolant,P0012,coolant support,
Lubric,P0013,lubrication,
Window,P0014,window read/write function,
MessDisp,P0015,message display control,
MMI_Output,P0016,mmi outputs,
OneTouchMacro,P0030,one touch macro call,
MultiPath,P0100,Multipath related functions,
Op_Keyb_55_In,P0101,op. 55-key inputs,
Op_Keyb_Sop_In,P0102,software op. inputs,
ModDec_P01,P0110,P01:decoding of op. modes,
ModDec_P02,P0111,P02:decoding of op. modes,
M_Codes_P01,P0130,P01:m code decoding,
M_Codes_P02,P0131,P02:m code decoding,
SpiCtrl_P01,P0150,P01:spindle control,
SpiRun_P01,P0151,P01:spindle speed control,
SpiOri_P01,P0152,P01:spindle orientation,
SpiCtrl_P02,P0153,P02:spindle control,
SpiRun_P02,P0154,P02:spindle speed control,
Tool_P01,P0200,P01:tool management,
Tool_P02,P0201,P02:tool management,
B_Codes_P01,P0220,P01:b code decoding,
B_Codes_P02,P0221,P02:b code decoding,
Manual_P01,P0240,P01:manual modes,
RefReturn_P01,P0241,P01:ref position return,
Hd_Inc_P01,P0242,P01:handle/incremental feed,
Manual_P02,P0243,P02:manual modes,
RefReturn_P02,P0244,P02:ref position return,
Hd_Inc_P02,P0245,P02:handle/incremental feed,
Auto_P01,P0290,P01:automatic modes,
Auto_P02,P0291,P02:automatic modes,
Axes_P01,P0310,P01:axes control,
FeedOvr_P01,P0311,P01:feed override,
Axis01_P01,P0312,P01:1st axis,
Axis02_P01,P0313,P01:2nd axis,
Axis03_P01,P0314,P01:3rd axis,
Axis04_P01,P0315,P01:4th axis,
Axis05_P01,P0316,P01:5th axis,
Axis06_P01,P0317,P01:6th axis,
Axis07_P01,P0318,P01:7th axis,
Axis08_P01,P0319,P01:8th axis,
Axes_P02,P0320,P02:axes control,
FeedOvr_P02,P0321,P02:feed override,
Axis01_P02,P0322,P02:1st axis,
Axis02_P02,P0323,P02:2nd axis,
Axis03_P02,P0324,P02:3rd axis,
Axis04_P02,P0325,P02:4th axis,
Axis05_P02,P0326,P02:5th axis,
Axis06_P02,P0327,P02:6th axis,
Axis07_P02,P0328,P02:7th axis,
Axis08_P02,P0329,P02:8th axis,
Coolant_P01,P0460,P01:coolant support,
Coolant_P02,P0461,P02:coolant support,
